,Current_Speed_(knots),Height (cm),Height (ft),Moon Illuminated,Current speed category
727,0.1,,,0.22,Weak Current
728,0.0,,,0.22,No Current
729,,255.0,8.36,0.22,
730,0.0,,,0.22,No Current
731,,296.0,9.72,0.22,
732,0.6,,,0.22,Weak Current
733,,29.0,0.96,0.22,
734,0.0,,,0.22,No Current
735,0.2,,,0.22,Weak Current
736,0.0,,,0.13,No Current
737,,342.0,11.23,0.13,
738,0.1,,,0.13,Weak Current
739,0.0,,,0.13,No Current
740,,228.0,7.48,0.13,
741,,309.0,10.14,0.13,
742,0.0,,,0.13,No Current
743,0.7,,,0.13,Weak Current
744,,44.0,1.44,0.13,
745,0.0,,,0.13,No Current
746,0.2,,,0.06,Weak Current
747,,354.0,11.63,0.06,
748,0.0,,,0.06,No Current
749,0.2,,,0.06,Weak Current
750,,193.0,6.33,0.06,
751,0.0,,,0.06,No Current
752,0.1,,,0.06,Weak Current
753,,324.0,10.64,0.06,
754,0.0,,,0.06,No Current
755,0.7,,,0.06,Weak Current
756,,47.0,1.54,0.06,
757,0.0,,,0.06,No Current
758,0.2,,,0.02,Weak Current
759,,365.0,11.98,0.02,
760,0.0,,,0.02,No Current
761,0.3,,,0.02,Weak Current
762,,151.0,4.95,0.02,
763,0.0,,,0.02,No Current
764,0.2,,,0.02,Weak Current
765,,336.0,11.03,0.02,
766,0.0,,,0.02,No Current
767,0.7,,,0.02,Weak Current
768,,35.0,1.15,0.02,
769,0.0,,,0.0,No Current
770,0.3,,,0.0,Weak Current
771,,375.0,12.29,0.0,
772,0.0,,,0.0,No Current
773,0.4,,,0.0,Weak Current
774,,105.0,3.45,0.0,
775,0.0,,,0.0,No Current
776,0.2,,,0.0,Weak Current
777,,343.0,11.24,0.0,
778,0.0,,,0.0,No Current
779,0.6,,,0.0,Weak Current
780,,7.0,0.23,0.0,
781,0.0,,,0.01,No Current
782,0.3,,,0.01,Weak Current
783,,382.0,12.52,0.01,
784,0.0,,,0.01,No Current
785,0.5,,,0.01,Weak Current
786,,60.0,1.98,0.01,
787,0.0,,,0.01,No Current
788,0.2,,,0.01,Weak Current
789,,343.0,11.26,0.01,
790,0.0,,,0.01,No Current
791,0.6,,,0.01,Weak Current
792,,34.0,1.11,0.06,
793,0.0,,,0.06,No Current
794,0.3,,,0.06,Weak Current
795,,384.0,12.6,0.06,
796,0.0,,,0.06,No Current
797,0.6,,,0.06,Weak Current
798,,22.0,0.71,0.06,
799,0.0,,,0.06,No Current
800,0.3,,,0.06,Weak Current
801,,339.0,11.11,0.06,
802,0.0,,,0.06,No Current
803,0.4,,,0.13,Weak Current
804,,84.0,2.74,0.13,
805,0.0,,,0.13,No Current
806,0.3,,,0.13,Weak Current
807,,380.0,12.47,0.13,
808,0.0,,,0.13,No Current
809,0.7,,,0.13,Weak Current
810,,5.0,0.18,0.13,
811,0.0,,,0.13,No Current
812,0.3,,,0.13,Weak Current
813,,331.0,10.85,0.13,
814,0.0,,,0.13,No Current
815,0.3,,,0.21,Weak Current
816,,135.0,4.44,0.21,
817,0.0,,,0.21,No Current
818,0.2,,,0.21,Weak Current
819,,368.0,12.07,0.21,
820,0.0,,,0.21,No Current
821,0.7,,,0.21,Weak Current
822,,19.0,0.61,0.21,
823,0.0,,,0.21,No Current
824,0.3,,,0.21,Weak Current
825,,321.0,10.53,0.21,
